tier,n,bot_fraction,model,roc_auc
Q1 (lowest),183,0.46994535519125685,RF-Content,0.7823663390074322
Q1 (lowest),183,0.46994535519125685,RF-Behavioral,0.9569048189882522
Q1 (lowest),183,0.46994535519125685,RF-Fusion,0.9655358427235675
Q2,182,0.4010989010989011,RF-Content,0.8448535880356918
Q2,182,0.4010989010989011,RF-Behavioral,0.9833479954756817
Q2,182,0.4010989010989011,RF-Fusion,0.9843533995224331
Q3,182,0.3901098901098901,RF-Content,0.9090216977540921
Q3,182,0.3901098901098901,RF-Behavioral,0.9960664890242356
Q3,182,0.3901098901098901,RF-Fusion,0.9980332445121177
Q4 (highest),183,0.45901639344262296,RF-Content,0.8379028379028379
Q4 (highest),183,0.45901639344262296,RF-Behavioral,0.9792568542568543
Q4 (highest),183,0.45901639344262296,RF-Fusion,0.9795574795574795
