feature,importance,feature_family
account_age_days,0.14130542569874646,behavioral
log_friends,0.11676220664024389,behavioral
friends_per_day,0.08538611164751393,behavioral
statuses_to_favourites,0.08315652399537553,behavioral
friends_to_followers,0.0780663786643388,behavioral
log_followers,0.05517162089677896,behavioral
followers_per_day,0.051326531124350525,behavioral
listed_per_follower,0.04761886644432994,behavioral
verified,0.046765839592541665,behavioral
favourites_per_day,0.044362983680881804,behavioral
statuses_per_day,0.03402432355274148,behavioral
log_statuses,0.026574667847123236,behavioral
status_len,0.01924754509101403,content
status_uppercase_ratio,0.018324481334454454,content
status_word_count,0.01751051409479159,content
default_profile,0.0168250285497054,behavioral
status_url_count,0.01234730815860035,content
name_entropy,0.010888913438292548,behavioral
desc_len,0.0105419768290866,content
screen_name_entropy,0.010427901549899553,behavioral
name_len,0.010315470126672258,behavioral
desc_word_count,0.01001445352485817,content
screen_name_len,0.006946225017059701,behavioral
status_mention_count,0.006763568161790337,content
desc_mention_count,0.005965485319894384,content
status_hashtag_count,0.004568703181458844,content
has_url,0.004525316443881603,behavioral
screen_name_digit_ratio,0.004352864733516524,behavioral
has_location,0.003982202704741709,behavioral
name_digit_ratio,0.003238438685117582,behavioral
has_description,0.003039645615110984,behavioral
desc_hashtag_count,0.0026978538793900066,content
desc_exclaim_count,0.0021892831110673504,content
default_profile_image,0.0018942474241484763,behavioral
desc_url_count,0.0014403114799247366,content
screen_name_has_trailing_digits,0.0014307817605565879,behavioral
